state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
MA,957,251,,100%,881,Maynard,1075
MA,997,256,,100%,1008,Belchertown,787
MA,1212,412,,100%,925,Rockland,364
MA,1075,378,,100%,678,Groton,760
MA,1288,793,,100%,298,Weston,556
MA,1037,455,,100%,764,Brewster,606
MA,1239,440,,100%,747,Somerset,411
MA,1121,398,,100%,878,Norton,423
MA,1213,381,,100%,800,Auburn,429
MA,1201,503,,100%,575,Hanover,460
MA,1099,415,,100%,863,Ludlow,324
MA,1038,366,,100%,930,Gardner,333
MA,1148,444,,100%,726,Westport,419
MA,996,375,,100%,741,Abington,435
MA,1136,369,,100%,666,East Longmeadow,405
MA,936,294,,100%,683,Littleton,700
MA,1039,402,,100%,597,Wilbraham,432
MA,1005,367,,100%,540,Southborough,550
MA,994,284,,100%,752,Whitman,350
MA,1032,350,,100%,704,Kingston,350
MA,952,355,,100%,595,Rockport,547
MA,1052,373,,100%,622,Nantucket,384
MA,1072,402,,100%,453,Norwell,431
MA,863,304,,100%,761,Clinton,390
MA,828,387,,100%,394,Lincoln,711
MA,1017,430,,50%,310,Wayland,585
MA,810,260,,100%,722,Pepperell,461
MA,938,441,,100%,404,Lynnfield,413
MA,965,283,,100%,587,Tyngsborough,330
MA,509,145,,100%,1076,Montague,472
MA,787,265,,100%,652,East Bridgewater,347
MA,877,303,,100%,595,Swansea,276
MA,874,291,,100%,522,Wrentham,391
MA,796,164,,100%,822,North Adams,390
MA,867,302,,100%,564,Raynham,255
MA,850,240,,100%,610,Uxbridge,308
MA,738,150,,100%,496,Williamstown,718
MA,735,288,,100%,604,Millbury,355
MA,943,426,,100%,319,Cohasset,361
MA,807,276,,100%,599,Seekonk,345
MA,728,279,,100%,489,Millis,391
MA,843,350,,100%,442,Norfolk,374
MA,735,351,,100%,408,Orleans,421
MA,766,300,,100%,437,Newbury,411
MA,696,211,,100%,407,Harvard,614
MA,694,221,,100%,599,Holbrook,311
MA,440,262,,100%,501,Stow,617
MA,709,204,,100%,617,Oxford,222
MA,704,328,,100%,356,Boxford,341
MA,614,254,,100%,541,Lakeville,242
MA,676,231,,100%,508,Hanson,250
MA,679,235,,100%,515,Charlton,231
MA,698,297,,100%,344,Chatham,330
MA,692,198,,100%,454,Sturbridge,316
MA,601,232,,100%,421,Eastham,347
MA,697,235,,100%,442,Georgetown,290
MA,431,244,,100%,650,Northbridge,308
MA,731,214,,100%,377,Hamilton,403
MA,603,195,,100%,485,Sterling,299
MA,648,212,,100%,473,Upton,310
MA,592,268,,100%,469,Salisbury,246
MA,629,221,,100%,513,Leicester,224
MA,704,387,,100%,226,Dover,317
MA,583,255,,100%,505,Southbridge,196
MA,632,302,,100%,378,Middleton,213
MA,528,114,,100%,565,Hadley,424
MA,657,242,,100%,353,Mattapoisett,300
MA,524,170,,100%,527,Ayer,335
MA,647,195,,100%,407,West Boylston,244
MA,556,230,,100%,292,Carlisle,437
MA,463,129,,100%,552,Deerfield,415
MA,629,189,,100%,470,Rehoboth,252
MA,590,167,,100%,541,Palmer,213
MA,561,186,,100%,342,Bolton,411
MA,536,184,,100%,461,Merrimac,251
MA,633,190,,100%,357,Lenox,329
MA,544,207,,100%,398,Plainville,245
MA,522,168,,100%,395,Boxborough,412
MA,677,141,,100%,502,Adams,180
MA,598,185,,100%,440,Westminster,227
MA,620,194,,100%,373,Sutton,239
MA,549,170,,100%,472,Rutland,245
MA,570,163,,100%,451,Spencer,219
MA,427,169,,100%,508,Townsend,251
MA,542,183,,100%,400,Groveland,234
MA,540,141,,100%,228,Provincetown,362
MA,564,264,,100%,211,Sherborn,319
MA,500,164,,100%,349,Lancaster,311
MA,391,137,,100%,549,Athol,186
MA,506,172,,100%,406,Dudley,196
MA,521,177,,100%,362,Rowley,242
MA,453,160,,100%,428,Monson,238
MA,541,214,,100%,290,Marion,248
MA,548,180,,100%,285,West Newbury,266
MA,493,188,,100%,340,Oak Bluffs,254
MA,456,144,,100%,394,Southampton,261
MA,437,135,,100%,399,Tisbury,297
MA,519,171,,100%,363,Halifax,190
MA,582,114,,100%,369,Dalton,208
MA,387,137,,100%,413,Shirley,257
MA,494,184,,100%,398,Freetown,143
MA,389,133,,100%,361,West Tisbury,335
MA,509,127,,100%,347,Hopedale,209
MA,511,107,,100%,371,Lee,221
MA,458,153,,100%,320,Edgartown,235
MA,461,174,,100%,333,West Bridgewater,158
MA,373,128,,100%,350,Wellfleet,309
MA,462,143,,100%,331,Blackstone,164
MA,419,136,,100%,414,Ware,175
MA,358,138,,100%,404,Granby,208
MA,455,148,,100%,309,Boylston,207
MA,394,196,,100%,358,Southwick,141
MA,388,135,,100%,383,Winchendon,142
MA,371,114,,100%,383,Ashburnham,192
MA,432,112,,100%,353,Douglas,161
MA,402,198,,100%,227,Nahant,210
MA,318,97,,100%,428,Orange,181
MA,383,114,,100%,314,Mendon,202
MA,400,191,,100%,178,Wenham,240
MA,415,120,,100%,338,Dighton,136
MA,382,151,,100%,277,Essex,209
MA,202,52,,100%,391,Williamsburg,369
MA,381,148,,100%,313,Templeton,122
MA,305,104,,100%,329,Hatfield,250
MA,225,61,,100%,426,Sunderland,283
MA,331,121,,100%,253,Paxton,193
MA,328,110,,100%,249,Princeton,192
MA,277,81,,100%,348,Barre,141
MA,129,26,,100%,371,Shutesbury,346
MA,338,105,,100%,273,Berkley,111
MA,259,111,,100%,226,Berlin,248
MA,312,95,,100%,277,Avon,111
MA,286,78,,100%,278,Hubbardston,131
MA,294,91,,100%,222,Dunstable,163
MA,347,101,,100%,207,Hampden,104
MA,293,71,,100%,214,Sheffield,194
MA,186,51,,100%,298,Northfield,192
MA,191,44,,100%,251,Conway,225
MA,147,29,,100%,267,Ashfield,224
MA,152,33,,100%,273,Shelburne,205
MA,245,75,,100%,154,Stockbridge,160
MA,275,67,,100%,204,West Brookfield,82
MA,212,75,,50%,212,Warren,98
MA,262,46,,100%,197,Lanesborough,114
MA,189,77,,100%,234,Ashby,102
MA,137,26,,100%,207,Pelham,253
MA,275,65,,100%,169,Cheshire,92
MA,145,30,,100%,230,Buckland,189
MA,210,75,,25%,159,Lunenburg,106
MA,249,64,,100%,149,Plympton,73
MA,185,63,,100%,206,Bernardston,70
MA,131,81,,100%,143,Chilmark,134
MA,155,49,,100%,162,Whately,122
MA,166,82,,17%,154,Fairhaven,59
MA,188,44,,100%,150,Brookfield,77
MA,219,59,,100%,97,Richmond,99
MA,148,38,,100%,147,West Stockbridge,119
MA,142,39,,100%,164,Gill,113
MA,154,71,,100%,119,Egremont,104
MA,151,56,,100%,119,Hardwick,89
MA,172,48,,100%,139,Millville,41
MA,186,52,,100%,110,Hinsdale,58
MA,146,47,,100%,100,New Marlborough,86
MA,87,19,,100%,175,Colrain,97
MA,92,42,,100%,123,Worthington,112
MA,139,37,,100%,114,Holland,60
MA,142,31,,100%,100,Becket,85
MA,140,28,,100%,111,Oakham,60
MA,125,49,,100%,93,East Brookfield,40
MA,74,22,,100%,117,Chesterfield,92
MA,84,23,,100%,139,Erving,52
MA,149,17,,100%,81,Clarksburg,55
MA,73,24,,100%,115,Cummington,86
MA,100,44,,100%,95,Otis,51
MA,81,14,,100%,125,Charlemont,67
MA,74,30,,100%,89,Goshen,90
MA,82,35,,100%,109,Phillipston,44
MA,72,39,,100%,72,Monterey,70
MA,98,17,,100%,94,Royalston,39
MA,87,27,,100%,74,Granville,46
MA,71,22,,100%,78,Leyden,72
MA,83,39,,100%,87,Wales,30
MA,52,18,,100%,71,Plainfield,86
MA,41,7,,100%,108,Warwick,48
MA,85,20,,100%,82,Windsor,35
MA,69,15,,100%,64,New Braintree,46
MA,57,13,,100%,73,Heath,51
MA,57,29,,100%,64,Chester,27
MA,51,31,,100%,67,Aquinnah,26
MA,70,14,,100%,43,Washington,33
MA,79,19,,100%,37,Blandford,30
MA,59,6,,100%,62,Peru,18
MA,46,17,,100%,45,Sandisfield,33
MA,53,23,,100%,48,Montgomery,19
MA,41,12,,100%,28,Middlefield,42
MA,45,9,,100%,46,Florida,15
MA,25,19,,100%,46,Savoy,14
MA,44,12,,100%,25,Hawley,24
MA,32,11,,100%,37,Rowe,22
MA,32,14,,100%,20,Tolland,7
MA,0,0,,0%,0,Acushnet,0
MA,0,0,,0%,0,Alford,0
MA,0,0,,0%,0,Bellingham,0
MA,0,0,,0%,0,Brimfield,0
MA,0,0,,0%,0,Carver,0
MA,0,0,,0%,0,Duxbury,0
MA,0,0,,0%,0,Gosnold,0
MA,0,0,,0%,0,Great Barrington,0
MA,0,0,,0%,0,Hancock,0
MA,0,0,,0%,0,Hingham,0
MA,0,0,,0%,0,Huntington,0
MA,0,0,,0%,0,Leverett,0
MA,0,0,,0%,0,Manchester,0
MA,0,0,,0%,0,Medway,0
MA,0,0,,0%,0,Monroe,0
MA,0,0,,0%,0,Mount Washington,0
MA,0,0,,0%,0,New Ashford,0
MA,0,0,,0%,0,New Salem,0
MA,0,0,,0%,0,North Brookfield,0
MA,0,0,,0%,0,Petersham,0
MA,0,0,,0%,0,Rochester,0
MA,0,0,,0%,0,Russell,0
MA,0,0,,0%,0,Topsfield,0
MA,0,0,,0%,0,Truro,0
MA,0,0,,0%,0,Tyringham,0
MA,0,0,,0%,0,Webster,0
MA,0,0,,0%,0,Wendell,0
MA,0,0,,0%,0,Westhampton,0
ME,4742,1314,,100%,8375,Portland,4647
ME,1924,583,,100%,2277,South Portland,1277
ME,1750,570,,100%,1537,Brunswick,1335
ME,1546,636,,100%,1035,Scarborough,637
ME,1396,613,,100%,1339,Lewiston,563
ME,1151,428,,100%,1446,Bangor,676
